target,ids,date,flag,user,text,sentiment,year
0,1467969625,Mon Apr 06 23:02:55 PDT 2009,NO_QUERY,Pathia,@dragoneer Yea   I am working tp hack my server to do the 12player thing for folks,negative,2009
0,1468237946,Tue Apr 07 00:28:31 PDT 2009,NO_QUERY,e11ena,@vomitto ahh ai dreptate Pixar ,negative,2009
0,1468264581,Tue Apr 07 00:37:39 PDT 2009,NO_QUERY,pleep,hooray for the ever so reliable signalflare server ,negative,2009
0,1468325296,Tue Apr 07 00:59:15 PDT 2009,NO_QUERY,ehu,@marleyuk I think you spoke too soon - big black rain cloud charging towards town now ,negative,2009
0,1468575547,Tue Apr 07 02:30:26 PDT 2009,NO_QUERY,wakeuphate,@aventure That's windows for you... I get to deal with about 20 windows servers and 180 windows machines misbehaving every day..  shoot me,negative,2009
0,1468593773,Tue Apr 07 02:36:52 PDT 2009,NO_QUERY,ThisIsOurs_info,Goodbye Jive test server - so very sorry to have to shut you down ,negative,2009
0,1468683960,Tue Apr 07 03:09:00 PDT 2009,NO_QUERY,liffeyd,dotnetnuke.com is down   Server Error in '/' Application.,negative,2009
0,1468928881,Tue Apr 07 04:27:01 PDT 2009,NO_QUERY,jemihawkx33,this is siiiiiiick. my server wont lemme go to YouTube  *sigh* i might be on a YT break for a while.....idk.,negative,2009
0,1469263284,Tue Apr 07 05:48:32 PDT 2009,NO_QUERY,DEfusion,"Oh no, my server has just died  support (e.g. brother-in-law) are onto it though",negative,2009
0,1469357709,Tue Apr 07 06:07:38 PDT 2009,NO_QUERY,stevegoodman,"Fun morning getting new servers into racks (with a helper this time!). Afternoon less fun, writing up documentation. Still 4 hours to go ",negative,2009
0,1469367224,Tue Apr 07 06:09:31 PDT 2009,NO_QUERY,iddJoe,"@derans Just tried to register for Austin Code Camp, but they had a server error ",negative,2009
0,1469380316,Tue Apr 07 06:12:03 PDT 2009,NO_QUERY,theshadowhost,@davidtelford reminds me of when i was working in the machine room for 4 days setting up servers. nearly went deaf ,negative,2009
0,1469665585,Tue Apr 07 07:03:36 PDT 2009,NO_QUERY,SARideLikeAGirl,"Downloading twitterberry, browsing the web, checking email.  My server was down all morning ",negative,2009
